SampleYear,DoubleReadYear,Source,SampleType,SpeciesID,SpecimenID,DoubleReadSampleID,Original_Age_Estimate,Original_Age_Date,Original_AgerID,DoubleRead_Age_Estimate,DoubleRead_Age_Date,DoubleRead_AgerID,Purpose
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-11,819,5,4/12/1997,mmann,3,5/9/97,bpederson,
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-12,819,3,4/12/1997,mmann,3,5/9/97,bpederson,
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-13,819,3,4/12/1997,mmann,4,5/9/97,bpederson,
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-14,819,3,4/12/1997,mmann,3,5/9/97,bpederson,
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-15,819,2,4/12/1997,mmann,3,5/9/97,bpederson,
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-16,819,4,4/12/1997,mmann,4,5/9/97,bpederson,
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-17,819,3,4/12/1997,mmann,3,5/9/97,bpederson,
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-18,819,3,4/12/1997,mmann,3,5/9/97,bpederson,
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-19,819,3,4/12/1997,mmann,3,5/9/97,bpederson,
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-2,819,4,4/12/1997,mmann,3,5/9/97,bpederson,
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-20,819,3,4/12/1997,mmann,3,5/9/97,bpederson,
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-21,819,4,4/12/1997,mmann,3,5/9/97,bpederson,
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-22,819,3,4/12/1997,mmann,3,5/9/97,bpederson,
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-3,819,4,4/12/1997,mmann,4,5/9/97,bpederson,
