"year","sex","age","pred_weight"
2004,"M",6,1.36955932257963
2004,"M",7,1.42054297374823
2004,"M",8,1.57026118978116
2004,"M",9,1.86823877801727
2004,"M",10,1.92378574804414
2004,"M",11,1.82070025444957
2004,"M",12,1.74441976384065
2004,"M",13,1.80599396625597
2004,"M",14,1.90570746792746
2004,"M",15,1.92390705440396
2004,"M",16,2.04981792405647
2004,"M",17,2.13520769947972
2004,"M",18,2.17812743647099
2004,"M",19,2.03801896120823
2004,"M",20,1.8989194960441
2004,"M",21,1.97248455103737
2004,"M",22,2.0043619356965
2004,"M",23,2.1067553893962
2004,"M",24,2.25639887324214
2004,"M",25,2.19834633752389
2004,"M",26,2.20888306039362
2004,"M",27,1.96573425248367
2004,"M",28,1.87852054569256
2004,"M",29,1.93649271570689
2004,"M",30,2.05699729941505
2004,"U",0,0.144476285833185
2004,"U",1,0.312308169594058
2004,"U",2,0.647731887719205
2004,"U",3,1.04733971543276
2004,"U",4,1.46295396967163
2004,"U",5,1.66174995110419
2004,"U",6,1.60892894103783
2004,"U",7,1.68442836900738
2004,"U",8,1.81285266290459
2004,"U",9,2.08940882255197
2004,"U",10,2.12330091856429
2004,"U",11,2.02204753948768
2004,"U",12,1.94787793204593
2004,"U",13,1.97883133398629
2004,"U",14,1.98774452300163
2004,"U",15,1.89141048315794
2004,"U",16,1.94985445574457
2004,"U",17,2.07571270675328
2004,"U",18,2.28680894707133
2004,"U",19,2.36970035910461
2004,"U",20,2.40221432280633
2004,"U",21,2.59088750118532
2004,"U",22,2.61675563769316
2004,"U",23,2.70172579345532
2004,"U",24,2.91964903012175
2004,"U",25,3.00402372585432
2004,"U",26,3.29065055113264
2004,"U",27,3.17640337895315
2004,"U",28,3.16384422894354
2004,"U",29,3.23470420359143
2004,"U",30,3.30406538076698
2005,"F",0,0.203564650946523
2005,"F",1,0.444536593657669
2005,"F",2,0.842876482202126
2005,"F",3,1.40392131096646
2005,"F",4,1.76563408568878
2005,"F",5,2.00529275396061
2005,"F",6,2.03678895475649
2005,"F",7,1.93885548157439
2005,"F",8,2.09945681491587
2005,"F",9,2.32518783813862
2005,"F",10,2.65830133733549
2005,"F",11,2.6061602785745
2005,"F",12,2.41785047787324
2005,"F",13,2.37400016253697
2005,"F",14,2.5854306336424
2005,"F",15,2.83800246507748
2005,"F",16,2.86460776367902
2005,"F",17,2.93578723523925
2005,"F",18,2.91401879103672
2005,"F",19,2.90888700827163
2005,"F",20,2.78096445572756
2005,"F",21,2.72387447784049
2005,"F",22,2.95351598155566
2005,"F",23,3.01642389776217
2005,"F",24,3.05432906136528
2005,"F",25,3.09632697899108
2005,"F",26,2.9088090946206
2005,"F",27,2.93541313786695
2005,"F",28,2.71475255068118
2005,"F",29,2.71043436843435
2005,"F",30,2.85376238574624
2005,"M",0,0.197365829984907
2005,"M",1,0.422888383520137
2005,"M",2,0.777293258552999
2005,"M",3,1.2313776726557
2005,"M",4,1.45213327715553
2005,"M",5,1.5484482558443
2005,"M",6,1.50405510562445
2005,"M",7,1.406344425029
2005,"M",8,1.52868257145225
2005,"M",9,1.71159765953346
2005,"M",10,1.96329023585866
2005,"M",11,1.90554537948023
2005,"M",12,1.73661869217818
2005,"M",13,1.68148779571259
2005,"M",14,1.82888741198108
2005,"M",15,2.02966639093238
2005,"M",16,2.07753251780611
2005,"M",17,2.14122597893855
2005,"M",18,2.10815705657033
2005,"M",19,2.06755002726867
2005,"M",20,1.94450040463217
2005,"M",21,1.89493288528074
2005,"M",22,2.0725618158954
2005,"M",23,2.15070784885323
2005,"M",24,2.20538914448388
2005,"M",25,2.23997501718279
2005,"M",26,2.08686830423526
2005,"M",27,2.0823728372773
2005,"M",28,1.91467733318104
2005,"M",29,1.91766328243235
2005,"M",30,2.03767197868833
2005,"U",0,0.137371613962735
2005,"U",1,0.311036048206898
