"Year","Quantity","Assessment_Year","Value"
1969,"SSB (MT)","2019",140481
1970,"SSB (MT)","2019",158648
1971,"SSB (MT)","2019",174886
1972,"SSB (MT)","2019",184470
1973,"SSB (MT)","2019",186690
1974,"SSB (MT)","2019",186134
1975,"SSB (MT)","2019",181085
1976,"SSB (MT)","2019",172398
1977,"SSB (MT)","2019",159658
1978,"SSB (MT)","2019",157415
1979,"SSB (MT)","2019",154181
1980,"SSB (MT)","2019",144902
1981,"SSB (MT)","2019",143038
1982,"SSB (MT)","2019",139745
1983,"SSB (MT)","2019",134086
1984,"SSB (MT)","2019",129733
1985,"SSB (MT)","2019",124643
1986,"SSB (MT)","2019",117390
1987,"SSB (MT)","2019",109742
1988,"SSB (MT)","2019",103861
1989,"SSB (MT)","2019",100543
1990,"SSB (MT)","2019",97762.4
1991,"SSB (MT)","2019",94831.1
1992,"SSB (MT)","2019",91315.5
1993,"SSB (MT)","2019",88883.5
1994,"SSB (MT)","2019",87781.9
1995,"SSB (MT)","2019",85549.4
1996,"SSB (MT)","2019",81398.6
1997,"SSB (MT)","2019",76208.1
1998,"SSB (MT)","2019",71771.4
1999,"SSB (MT)","2019",69934.5
2000,"SSB (MT)","2019",66326.7
2001,"SSB (MT)","2019",61824.7
2002,"SSB (MT)","2019",58927.2
2003,"SSB (MT)","2019",61368.3
2004,"SSB (MT)","2019",66583.7
2005,"SSB (MT)","2019",71451.4
2006,"SSB (MT)","2019",73499.4
2007,"SSB (MT)","2019",72787.3
2008,"SSB (MT)","2019",70583.2
2009,"SSB (MT)","2019",66591.9
2010,"SSB (MT)","2019",60844.5
2011,"SSB (MT)","2019",56029.8
2012,"SSB (MT)","2019",54047.6
2013,"SSB (MT)","2019",53475.4
2014,"SSB (MT)","2019",53617.3
2015,"SSB (MT)","2019",53171.7
2016,"SSB (MT)","2019",52468.9
2017,"SSB (MT)","2019",53372.7
2018,"SSB (MT)","2019",54624.3
2019,"SSB (MT)","2019",57443.9
1888,"SSB (MT)","2021",168875
1889,"SSB (MT)","2021",168875
1890,"SSB (MT)","2021",163972
1891,"SSB (MT)","2021",163640
1892,"SSB (MT)","2021",163290
1893,"SSB (MT)","2021",162923
1894,"SSB (MT)","2021",162533
1895,"SSB (MT)","2021",162119
1896,"SSB (MT)","2021",161680
1897,"SSB (MT)","2021",161219
1898,"SSB (MT)","2021",160738
1899,"SSB (MT)","2021",160235
1900,"SSB (MT)","2021",159711
1901,"SSB (MT)","2021",159152
